Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes
Living Undocumented,Docuseries,"October 2, 2019","English, Spanish",United States,7.0,595
Unnatural Selection,Docuseries,"October 18, 2019",English,United States,7.9,"2,078"
"Breakfast, Lunch & Dinner",Docuseries,"October 23, 2019",English,United States,6.7,"1,107"
The Devil Next Door,Docuseries,"November 4, 2019","English, Hebrew, German, Ukrainian",United States,7.5,"14,107"
Maradona in Mexico,Sport,"November 13, 2019",Spanish,"Argentina, United States, Mexico",7.2,"1,167"
Who Killed Little Gregory?,Docuseries,"November 20, 2019",French,France,7.4,"3,112"
Narcoworld: Dope Stories,Docuseries,"November 22, 2019",English,United States,6.5,349
Broken,Docuseries,"November 27, 2019",English,United Kingdom,7.2,"14,472"
The Movies That Made Us,Docuseries,"November 29, 2019",English,United States,7.6,"6,761"
The Confession Killer,True crime,"December 6, 2019",English,United States,7.4,"9,706"
Don't F**k with Cats: Hunting an Internet Killer,True crime,"December 18, 2019",English,United Kingdom,8.0,"56,829"
Kevin Hart: Don't F**k This Up,Docuseries,"December 27, 2019",English,United States,6.5,"2,081"
Arashi's Diary -Voyage-,Docuseries,"December 31, 2019",Japanese,Japan,7.8,46
"Sex, Explained",Docuseries,"January 2, 2020",English,United States,6.9,"3,382"
Cheer,Docuseries,"January 8, 2020",English,United States,8.1,"6,587"
Killer Inside: The Mind of Aaron Hernandez,True crime,"January 15, 2020",English,United States,7.4,"18,001"
Pandemic: How to Prevent an Outbreak,Docuseries,"January 22, 2020",English,United States,6.4,"2,825"
Night on Earth,Nature documentary,"January 29, 2020","English, French, Italian, Finnish, German","France, United Kingdom, Germany, United States, Japan",7.7,"62,437"
The Pharmacist,Docuseries,"February 5, 2020",English,United States,7.7,"7,829"
Babies,Docuseries,"February 21, 2020","English, Japanese, Mongolian",France,7.0,"7,300"
The Trials of Gabriel Fernandez,Docuseries,"February 26, 2020",English,United States,8.1,"12,405"
"Tiger King: Murder, Mayhem and Madness",Docuseries,"March 20, 2020",,,,
How to Fix a Drug Scandal,True crime,"April 1, 2020",English,United States,7.0,"3,508"
The Innocence Files,Docuseries,"April 15, 2020",English,United States,7.9,"2,912"
Absurd Planet,Nature documentary,"April 22, 2020",English,United States,3.9,"1,574"
"Coronavirus, Explained",Docuseries,"April 26, 2020",English,United States,7.6,"2,351"
Trial by Media,Docuseries,"May 11, 2020",English,United States,7.1,"3,353"
History 101,Docuseries,"May 22, 2020",English,United Kingdom,6.8,"4,608"
Jeffrey Epstein: Filthy Rich,Docuseries,"May 27, 2020",English,United States,7.1,"26,087"
Lenox Hill,Docuseries,"June 10, 2020",English,United States,8.7,"2,608"
Home Game,Docuseries,"June 26, 2020",English,United States,7.0,924
The Business of Drugs,Docuseries,"July 14, 2020",English,United States,7.2,"1,768"
Street Food: Latin America,Docuseries,"July 21, 2020","Spanish, Portuguese, English",United States,7.8,"1,487"
Fear City: New York vs The Mafia,Docuseries,"July 22, 2020",English,United States,7.1,"7,856"
Connected,Docuseries,"August 2, 2020","Cantonese, Mandarin, English","China, Hong Kong",6.6,"2,388"
Immigration Nation,Docuseries,"August 3, 2020",English,United States,7.6,"1,174"
Mystery Lab,Docuseries,"August 4, 2020",Portuguese,Brazil,7.4,835
World's Most Wanted,Docuseries,"August 5, 2020",English,United States,7.1,"2,723"
Tiny Creatures,Nature documentary,"August 7, 2020",English,United States,5.1,"1,328"
High Score,Docuseries,"August 19, 2020",English,United States,7.4,"8,380"
Chef's Table: BBQ,Culinary art,"September 2, 2020",English,United States,7.8,"1,142"
La Línea: Shadow of Narco,Docuseries,"September 9, 2020",Spanish,Spain,6.4,431
Challenger: The Final Flight,Docuseries,"September 16, 2020",English,United States,7.8,"7,404"
The Playbook,Docuseries,"September 22, 2020",English,United States,7.4,"1,563"
A Perfect Crime,Docuseries,"September 25, 2020",German,Germany,7.3,"1,555"
"Whose Vote Counts, Explained",Docuseries,"September 28, 2020",English,United States,7.3,"1,244"
Song Exploder,Docuseries,"October 2, 2020",English,United States,7.4,833
Bad Boy Billionaires: India,Docuseries,"October 5, 2020",English,India,7.9,"3,269"
Deaf U,Coming-of-age documentary,"October 9, 2020",English,United States,6.4,492
Move,Docuseries,"October 23, 2020",German,Germany,6.6,"1,382"
Carmel: Who Killed Maria Marta?,True crime,"November 5, 2020",Spanish,Argentina,7.0,"2,611"
Trial 4,Docuseries,"November 11, 2020",English,United States,7.4,"2,197"
Voices of Fire,Docuseries,"November 20, 2020",English,United States,6.9,405
Alien Worlds,Docuseries,"December 2, 2020","English, Ukrainian",United Kingdom,6.5,"3,878"
Room 2806: The Accusation,Docuseries,"December 7, 2020",French,France,7.0,"2,412"
The Surgeon's Cut,Docuseries,"December 9, 2020",English,United States,8.5,"1,108"
Anitta: Made In Honório,Docuseries,"December 16, 2020",Portuguese,Brazil,6.9,428
Break it All: The History of Rock in Latin America,Docuseries,"December 16, 2020",Spanish,N/A,7.6,"1,300"
The Ripper,Docuseries,"December 16, 2020",English,United Kingdom,7.1,"10,082"
SanPa: Sins of the Savior,Docuseries,"December 30, 2020",Italian,Italy,7.8,"1,625"
Headspace Guide to Meditation,Docuseries,"January 1, 2021",English,United States,8.4,"1,728"
History of Swear Words,Docuseries,"January 5, 2021",English,United States,6.4,"5,236"
Surviving Death,Docuseries,"January 6, 2021",English,United States,6.2,"2,208"
Pretend It's a City,Docuseries,"January 8, 2021",English,United States,8.0,"7,885"
Night Stalker: The Hunt For a Serial Killer,True crime,"January 13, 2021","English, Spanish",United States,7.5,"27,785"
Spycraft,Docuseries,"January 20, 2021",English,United States,6.7,"2,262"
We Are: The Brooklyn Saints,Sport,"January 29, 2021",English,United States,6.5,170
Crime Scene: The Vanishing at the Cecil Hotel,True crime,"February 10, 2021","English, Spanish",United States,6.0,"18,754"
Amend: The Fight for America,Docuseries,"February 17, 2021",English,United States,7.9,"1,445"
Murder Among the Mormons,True crime,"March 3, 2021",English,United States,7.0,"6,873"
Nevenka: Breaking the Silence,True crime,"March 5, 2021",Spanish,Spain,6.9,707
The Houseboat,Docuseries,"March 9, 2021",German,Germany,7.1,"1,279"
The Lost Pirate Kingdom,Docuseries,"March 15, 2021",English,"United States, United Kingdom",6.6,"3,103"
Worn Stories,Docuseries,"April 1, 2021",English,United States,6.7,329
This Is a Robbery: The World's Biggest Art Heist,True crime,"April 7, 2021",,,,
My Love: Six Stories of True Love,Docuseries,"April 13, 2021","Portuguese, Japanese, English, Marathi, Spanish","United States, Brazil, Japan, Spain, India",7.4,320
Headspace Guide to Sleep,Docuseries,"April 28, 2021",English,United States,6.8,523
The Sons of Sam: A Descent Into Darkness,True crime,"May 5, 2021",English,United States,7.0,"9,423"
"Money, Explained",Docuseries,"May 11, 2021",English,United States,6.9,"2,493"
Penguin Town,Docuseries,"June 16, 2021",English,South Africa,7.9,933
Sophie: A Murder in West Cork,True crime,"June 30, 2021","English, French",United Kingdom,6.8,"5,676"
Cat People,Docuseries,"July 7, 2021","English, Czech, Serbian",United States,7.2,"24,115"
Elize Matsunaga: Once Upon a Crime,True crime,"July 8, 2021",Portuguese,Brazil,5.9,"2,355"
How to Become a Tyrant,Docuseries,"July 9, 2021",English,United States,7.4,"9,781"
Heist,True crime,"July 14, 2021",English,"Canada, United States",6.5,"37,952"
Naomi Osaka,Docuseries,"July 16, 2021",English,United States,6.3,"1,373"
Myth & Mogul: John DeLorean,Docuseries,"July 30, 2021",English,United States,6.8,"1,182"
Cocaine Cowboys: The Kings of Miami,True crime,"August 4, 2021",English,United States,7.1,"2,945"
John of God: The Crimes of a Spiritual Healer,True crime,"August 25, 2021",Portuguese,Brazil,6.5,933
Turning Point: 9/11 and the War on Terror,Docuseries,"September 1, 2021",English,United States,7.9,"10,055"
Countdown: Inspiration4 Mission to Space,Docuseries,"September 6, 2021",English,United States,7.8,"2,002"
Crime Stories: India Detectives,True crime,"September 22, 2021",Kannada,India,7.1,"1,105"
Monsters Inside: The 24 Faces of Billy Milligan,True crime,"September 22, 2021","English, French",United States,6.2,"4,189"
"Vendetta: Truth, Lies and The Mafia",True crime,"September 24, 2021",,,,
A Sinister Sect: Colonia Dignidad,True crime,"October 1, 2021",,,,
Bad Sport,Sport/True crime,"October 6, 2021",English,United States,7.3,"2,562"
House of Secrets: The Burari Deaths,Docuseries,"October 8, 2021","Hindi, English",India,7.4,"11,399"
The Raincoat Killer: Chasing a Predator in Korea,True crime,"October 22, 2021","Korean, English","South Korea, Singapore",6.4,"2,657"
The Motive,True crime,"October 28, 2021","Spanish, English","Spain, Mexico",6.5,"6,291"
Where is Marta?,True crime,"November 5, 2021",Spanish,Spain,6.8,"1,468"
Your Life is a Joke,Docuseries,"November 9, 2021",German,Germany,5.5,89
Animal,Nature docuseries,"November 10, 2021",English,United States,4.6,"7,167"
Reasonable Doubt: A Tale of Two Kidnappings,True crime,"November 23, 2021",Spanish,Mexico,7.6,222
Dig Deeper: The Disappearance of Birgit Meier,True crime,"November 26, 2021",,,,
Voir,Docuseries,"December 6, 2021",English,United States,6.8,"1,517"
Tiger King: The Doc Antle Story,Docuseries,"December 10, 2021",English,United States,6.2,"1,807"
Stories of a Generation – with Pope Francis,Docuseries,"December 25, 2021",English,Italy,7.5,255
Crime Scene: The Times Square Killer,True crime,"December 29, 2021",English,United States,6.5,"4,966"
The Puppet Master: Hunting the Ultimate Conman,True crime,"January 18, 2022",English,United Kingdom,6.9,"7,602"
Heavenly Bites: Mexico,Docuseries,"January 19, 2022",Spanish,Mexico,6.3,213
Midnight Asia: Eat. Dance. Dream.,Travel documentary,"January 20, 2022",,,,
Neymar: The Perfect Chaos,Sport,"January 25, 2022","Portuguese, English","United States, Brazil",6.6,"3,950"
Jeen-Yuhs: A Kanye Trilogy,Docuseries,"February 16, 2022",English,United States,8.0,"9,784"
Race: Bubba Wallace,Sport,"February 22, 2022",English,United States,6.5,511
Worst Roommate Ever,True crime,"March 1, 2022",English,United States,7.0,"8,985"
The Andy Warhol Diaries,Docuseries,"March 9, 2022",English,United States,7.7,"2,366"
Bad Vegan: Fame. Fraud. Fugitives.,Docuseries,"March 16, 2022",English,United States,5.9,"7,521"
The Great Robbery of Brazil's Central Bank,True crime,"March 16, 2022",Portuguese,Brazil,6.4,636
The Principles of Pleasure,Docuseries,"March 22, 2022",English,United States,5.9,"1,453"
800 Meters,Docuseries,"March 25, 2022","Spanish, Arabic, Catalan",Spain,7.0,735
Johnny Hallyday: Beyond Rock,Docuseries,"March 29, 2022",French,France,7.2,142
Jimmy Savile: A British Horror Story,Docuseries,"April 6, 2022",English,"United Kingdom, United States",6.7,"8,146"
Senzo: Murder of a Soccer Star,True crime,"April 7, 2022",English,South Africa,5.4,246
Our Great National Parks,Docuseries,"April 13, 2022",English,United States,8.1,"2,463"
Conversations with a Killer: The John Wayne Gacy Tapes,True crime,"April 20, 2022",English,United States,7.1,"11,039"
Meltdown: Three Mile Island,Docuseries,"May 4, 2022",English,United States,6.8,"4,575"
Wild Babies,Nature docuseries,"May 5, 2022",English,United Kingdom,7.7,747
The G Word with Adam Conover,Docuseries,"May 19, 2022",English,United States,6.6,"1,044"
Mr. Good: Cop or Crook?,True crime,"June 3, 2022",Norwegian,Norway,6.8,572
Keep Sweet: Pray and Obey,True crime,"June 8, 2022",English,United States,7.3,"13,835"
"Web of Make Believe: Death, Lies and the Internet",Docuseries,"June 15, 2022",English,United States,6.5,"2,085"
The Future Of,Docuseries,"June 21, 2022",English,United States,5.4,467
The Hidden Lives of Pets,Docuseries,"June 22, 2022",English,United Kingdom,7.2,836
How to Change Your Mind,Docuseries,"July 12, 2022",English,United States,7.9,"2,530"
D. B. Cooper: Where Are You?!,True crime,"July 13, 2022",,,,
Indian Predator: The Butcher of Delhi,True crime,"July 20, 2022",Hindi,India,6.0,"2,406"
Street Food: USA,Docuseries,"July 26, 2022",English,United States,6.8,585
The Most Hated Man on the Internet,Docuseries,"July 27, 2022",English,United Kingdom,6.8,"7,163"
Trainwreck: Woodstock '99,Docuseries,"August 3, 2022",English,United States,7.4,"18,614"
I Just Killed My Dad,True crime,"August 9, 2022",English,United States,6.7,"5,599"
Untold: The Girlfriend Who Didn't Exist,Docuseries,"August 16, 2022",English,United States,7.2,"6,745"
A Kidnapping Scandal: The Florence Cassez Affair,True crime,"August 25, 2022",Spanish,Mexico,7.0,394
Club América vs Club América,Sport,"August 31, 2022",Spanish,Mexico,N/A,114
Chef's Table: Pizza,Culinary art,"September 7, 2022",English,United States,7.2,747
Indian Predator: The Diary of a Serial Killer,True crime,"September 7, 2022",Hindi,India,6.3,"2,011"
Sins of Our Mother,Docuseries,"September 14, 2022",English,United States,7.0,"5,044"
Terim,Docuseries,"September 15, 2022","Turkish, English, Italian",Turkey,6.7,"5,374"
Fortune Seller: A TV Scam,True crime,"September 21, 2022",Italian,Italy,6.7,830
The Real Bling Ring: Hollywood Heist,True crime,"September 21, 2022",English,"United States, United Kingdom",5.7,"1,694"
Eat the Rich: The GameStop Saga,Docuseries,"September 28, 2022",English,United States,6.2,"3,400"
Human Playground,Docuseries,"September 30, 2022",English,United States,6.8,693
Aftershock: Everest and the Nepal Earthquake,Docuseries,"October 6, 2022","English, Nepali",United Kingdom,7.3,"3,148"
Conversations with a Killer: The Jeffrey Dahmer Tapes,True crime,"October 7, 2022",English,United States,7.3,"7,410"
Island of the Sea Wolves,Nature documentary,"October 12, 2022",English,United Kingdom,7.8,714
Sue Perkins: Perfectly Legal,Docuseries,"October 13, 2022","English, Spanish",United Kingdom,6.8,224
Take 1,Docuseries,"October 14, 2022",Korean,South Korea,7.4,61
Vatican Girl: The Disappearance of Emanuela Orlandi,True crime,"October 20, 2022","English, Italian","United Kingdom, Italy",7.1,"3,838"
Earthstorm,Docuseries,"October 27, 2022",English,"United States, Canada",3.5,"2,098"
Indian Predator: Murder in a Courtroom,True crime,"October 28, 2022",N/A,India,7.2,612
My Encounter with Evil,True crime,"October 28, 2022",Spanish,Mexico,4.6,200
Killer Sally,True crime,"November 3, 2022",English,United States,6.7,"4,696"
FIFA Uncovered,Sport,"November 9, 2022",English,United States,7.4,"5,647"
"Pepsi, Where's My Jet?",Docuseries,"November 17, 2022",English,United States,7.0,"9,365"
Crime Scene: The Texas Killing Fields,Docuseries,"November 29, 2022",English,United States,6.6,"3,131"
Harry & Meghan,Docuseries,"December 8, 2022",English,United States,4.9,"22,002"
Beast of Bangalore: Indian Predator,Docuseries,"December 16, 2022",N/A,India,6.1,425
Madoff: The Monster of Wall Street,True crime,"January 4, 2023",English,United States,7.3,"5,390"
Gunther's Millions,Docuseries,"February 1, 2023",English,United States,5.6,651
Bill Russell: Legend,Docuseries,"February 8, 2023",English,United States,7.9,948
Murdaugh Murders: A Southern Scandal,True crime,"February 22, 2023",,,,
Monique Olivier: Accessory to Evil,True crime,"March 2, 2023",,,,
MH370: The Plane That Disappeared,Docuseries,"March 8, 2023",,,,
Waco: American Apocalypse,Docuseries,"March 22, 2023",,,,
White Rabbit Project,Science investigation,"December 9, 2016",English,United States,6.9,"1,695"
Chasing Cameron,Celebrity,"December 27, 2016",English,United States,3.8,553
Ultimate Beastmaster,Competition,"February 24, 2017","English, Spanish, Korean, Japanese, German, Portuguese","United States, Brazil, South Korea, Mexico, Japan, Germany",7.2,"2,607"
Nailed It!,Baking competition,"March 9, 2018",English,United States,7.4,"5,092"
Fastest Car,Motoring,"April 6, 2018",English,United States,7.1,"1,390"
Cooking on High,Cooking show,"June 22, 2018",English,United States,5.0,480
Sugar Rush,Baking competition,"July 13, 2018",English,United Kingdom,7.7,"4,169"
Amazing Interiors,Reality,"July 20, 2018",English,United Kingdom,6.6,847
Magic for Humans,Reality,"August 17, 2018",English,United States,7.2,"3,558"
Stay Here,Reality,"August 17, 2018",English,United States,7.5,"1,148"
Car Masters: Rust to Riches,Reality,"September 14, 2018",English,United States,8.4,"11,063"
Battlefish,Reality,"September 21, 2018",N/A,N/A,7.1,469
Made in Mexico,Reality,"September 28, 2018","Spanish, English",United States,3.9,778
Dancing Queen,Celebrity,"October 5, 2018",N/A,N/A,7.1,"1,660"
Haunted,Horror,"October 19, 2018",English,"United Kingdom, United States",6.2,"6,963"
Westside,Music,"November 9, 2018",English,New Zealand,8.0,699
The Final Table,Culinary competition,"November 20, 2018",English,United States,7.6,"4,435"
Death by Magic,Reality,"November 30, 2018",English,United States,6.1,700
Tidying Up with Marie Kondo,Reality show,"January 1, 2019","English, Japanese",United States,6.6,"3,756"
Nailed It! Mexico,Reality,"February 8, 2019",Spanish,Mexico,6.3,324
Dating Around,Reality,"February 14, 2019",N/A,N/A,6.4,"1,252"
You vs. Wild,Interactive reality,"April 10, 2019",English,United States,6.6,"2,721"
Flinch,Game show,"May 3, 2019",English,United Kingdom,4.3,767
Jailbirds,Reality television,"May 10, 2019",German,Germany,5.9,"1,660"
Awake: The Million Dollar Game,Reality television,"June 14, 2019",English,United States,6.0,842
Extreme Engagement,Reality television,"July 12, 2019",N/A,N/A,5.7,395
Basketball or Nothing,Reality competition,"August 2, 2019",N/A,United States,7.3,670
Hyperdrive,Reality competition,"August 21, 2019",English,United States,8.0,"2,748"
Styling Hollywood,Reality television,"August 30, 2019",N/A,N/A,6.6,379
Nailed It! France,Reality competition,"October 25, 2019",French,France,6.6,119
Nailed It! Spain,Reality competition,"October 25, 2019",Spanish,Spain,5.8,100
Prank Encounters,Prank show,"October 25, 2019",English,United States,5.3,"2,940"
I'm with the Band: Nasty Cherry,Reality television,"November 15, 2019",N/A,United States,6.5,170
No Time for Shame,Reality television,"November 19, 2019",Spanish,Argentina,5.9,86
Singapore Social,Reality,"November 22, 2019",English,"Singapore, United States",4.6,"1,426"
Sugar Rush Christmas,Baking competition,"November 29, 2019",English,United States,6.9,654
Until Dawn,Reality competition,"January 10, 2020",French,France,2.5,151
Nailed It! Germany,Reality competition,"January 17, 2020",German,Germany,5.9,109
The Goop Lab with Gwyneth Paltrow,Reality television,"January 24, 2020",,,,
What the Love! with Karan Johar,Dating show,"January 30, 2020",N/A,United States,3.9,283
The Circle Brazil,Reality competition,"March 11, 2020",Portuguese,"Brazil, United Kingdom",6.8,817
100 Humans,Reality competition,"March 13, 2020",English,United States,5.8,"4,363"
The Circle France,Reality competition,"April 9, 2020",N/A,"France, United Kingdom",7.4,766
Cooked with Cannabis,Reality competition,"April 20, 2020",English,United States,6.6,405
The Big Flower Fight,Reality competition,"May 18, 2020",English,United Kingdom,7.4,"1,298"
Floor Is Lava,Game show,"June 19, 2020",English,United States,5.3,"2,729"
Twogether,Travel reality,"June 26, 2020","Mandarin, Korean",South Korea,8.4,523
Say I Do,Reality,"July 1, 2020",English,United States,7.9,561
Southern Survival,Reality,"July 3, 2020",English,United States,5.3,484
Dating Around: Brazil,Reality,"July 10, 2020",Portuguese,Brazil,5.3,140
Skin Decision: Before and After,Reality,"July 15, 2020",English,United States,5.9,430
Sing On! Spain,Singing contest,"July 24, 2020",Spanish,Spain,6.3,141
Sing On! Germany,Singing contest,"August 7, 2020",German,Germany,5.6,148
(Un)well,Reality,"August 12, 2020",English,United States,6.4,"1,137"
DeMarcus Family Rules,Reality,"August 19, 2020",English,United States,6.5,113
Million Dollar Beach House,Reality,"August 26, 2020",English,United States,4.2,859
Get Organized with The Home Edit,Reality,"September 9, 2020",English,United States,5.5,"1,674"
Sing On!,Singing contest,"September 16, 2020",English,United States,6.5,448
The Cabin with Bert Kreischer,Reality,"October 13, 2020",English,United States,6.9,"1,872"
Country Ever After,Reality,"November 6, 2020",English,United States,6.9,180
A Queen Is Born,Reality,"November 11, 2020",Portuguese,Brazil,6.1,159
We Are the Champions,Reality,"November 17, 2020",English,United States,7.1,"1,529"
Holiday Home Makeover with Mr. Christmas,Reality,"November 18, 2020",English,United States,5.9,321
Best Leftovers Ever!,Reality competition,"December 30, 2020",English,United States,5.7,591
Bling Empire,Reality,"January 15, 2021",English,United States,5.8,"3,540"
Buried by the Bernards,Reality,"February 12, 2021",English,United States,7.2,369
The Big Day,Reality,"February 14, 2021",English,United States,4.2,506
Canine Intervention,Reality,"February 24, 2021",English,United States,6.6,946
Marriage or Mortgage,Reality,"March 10, 2021",English,United States,5.3,468
Magic for Humans Spain,Reality,"March 26, 2021",,,,
Haunted: Latin America,Reality show,"March 31, 2021",Spanish,Mexico,5.3,626
The Wedding Coach,Reality,"April 7, 2021",English,United States,5.0,97
Pet Stars,Reality,"April 30, 2021",English,United States,5.4,129
"Fresh, Fried and Crispy",Travel reality,"June 9, 2021",English,United States,6.3,698
World's Most Amazing Vacation Rentals,Travel reality,"June 18, 2021",English,United States,6.8,"1,493"
Too Hot to Handle: Brazil,Dating show,"July 21, 2021",Portuguese,Brazil,5.3,577
Tattoo Redo,Reality,"July 28, 2021",English,United States,5.9,850
Cooking with Paris,Cooking show,"August 4, 2021",English,United States,5.3,"1,158"
Motel Makeover,Reality,"August 25, 2021",English,United States,5.0,796
Titletown High,Reality,"August 27, 2021",English,United States,5.7,380
How to Be a Cowboy,Reality,"September 1, 2021",English,United States,7.4,171
Metal Shop Masters,Reality competition,"September 10, 2021",English,United States,5.7,633
Too Hot to Handle: Latino,Reality,"September 15, 2021",Spanish,"Mexico, Spain",N/A,348
Jailbirds: New Orleans,Reality,"September 24, 2021",English,United States,6.6,263
Baking Impossible,Baking competition,"October 6, 2021",English,United States,7.0,"1,303"
Insiders,Reality,"October 21, 2021",Spanish,Spain,4.2,820
"Sex, Love & goop",Reality,"October 21, 2021",N/A,United States,5.1,856
Swap Shop,Reality,"November 9, 2021",English,United States,6.7,395
Love Never Lies,Reality,"November 11, 2021",Spanish,Spain,5.6,365
New World,Reality,"November 20, 2021","Korean, Mandarin",South Korea,7.5,"24,817"
The Fastest,Reality,"November 23, 2021",N/A,Saudi Arabia,5.2,95
School of Chocolate,Reality competition,"November 26, 2021",English,United States,7.6,"2,131"
Coming Out Colton,Reality,"December 3, 2021",English,United States,6.8,"1,255"
The Family That Sings Together: The Camargos,Reality,"December 9, 2021",,,,
Twentysomethings: Austin,Reality,"December 10, 2021",English,United States,6.2,546
The Hungry and the Hairy,Travel reality,"December 11, 2021",Korean,South Korea,7.6,278
The Future Diary,Reality,"December 14, 2021","Japanese, English",Japan,7.5,"18,405"
Selling Tampa,Docu-soap,"December 15, 2021",English,United States,4.7,947
Hype House,Reality,"January 7, 2022",English,United States,1.9,"3,053"
Getting Curious with Jonathan Van Ness,Reality,"January 28, 2022",English,United States,6.9,817
Love Is Blind: Japan,Dating show,"February 8, 2022",Japanese,Japan,7.1,733
The Big Shot Game Show,Reality,"February 9, 2022",,,,
Making Fun,Reality,"March 4, 2022",English,United States,7.1,704
Byron Baes,Reality,"March 9, 2022",English,Australia,2.9,529
Queer Eye: Germany,Makeover reality,"March 9, 2022",German,Germany,7.3,"1,181"
Life After Death with Tyler Henry,Reality,"March 11, 2022",English,United States,6.1,"1,133"
Bullsh*t The Game Show,Game show,"April 27, 2022",English,United States,6.2,"1,022"
Iron Chef: Quest for an Iron Legend,Reality competition,"June 15, 2022",English,United States,7.1,864
Snowflake Mountain,Reality,"June 22, 2022",English,United Kingdom,5.5,"1,553"
First Class,Reality,"June 23, 2022",Spanish,Spain,2.6,147
Pirate Gold of Adak Island,Reality,"June 29, 2022",English,United States,4.7,"1,123"
How to Build a Sex Room,Reality,"July 8, 2022",English,United States,6.9,"1,070"
Lady Tamara,Reality,"August 4, 2022",Spanish,Spain,4.4,109
Instant Dream Home,Reality,"August 10, 2022",English,United States,6.4,921
Iron Chef Brazil,Reality competition,"August 10, 2022",Portuguese,"United States, Brazil",7.3,95
Queer Eye: Brazil,Makeover reality,"August 24, 2022",Portuguese,Brazil,7.2,186
Drive Hard: The Maloof Way,Reality,"August 26, 2022",English,United States,6.0,205
Buy My House,Reality,"September 2, 2022",English,United States,5.8,241
Dated & Related,Reality,"September 2, 2022",,,,
Who Likes My Follower?,Reality,"September 8, 2022",Spanish,Spain,5.1,66
Designing Miami,Reality,"September 21, 2022",English,United States,7.1,234
Iron Chef Mexico,Reality competition,"September 21, 2022",Spanish,Mexico,6.4,70
Forever Queens,Reality competition,"October 2, 2022",English,USA,N/A,N/A
Easy-Bake Battle: The Home Cooking Competition,Reality competition,"October 12, 2022",,,,
28 Days Haunted,Reality competition,"October 21, 2022",English,United States,3.5,"2,418"
Drink Masters,Reality competition,"October 28, 2022",English,United States,6.7,946
Bling Empire: New York,Reality,"January 20, 2023",English,United States,5.2,386
Chelsea,Late-night,"May 11, 2016",English,United States,6.3,"2,114"
Bill Nye Saves the World,Science,"April 21, 2017",English,United States,3.8,"7,409"
My Next Guest Needs No Introduction with David Letterman,Interview,"January 12, 2018",English,United States,7.9,"5,983"
The Joel McHale Show with Joel McHale,Comedy,"February 18, 2018",English,United States,7.1,"2,448"
A Little Help with Carol Burnett,Talk show,"May 4, 2018",English,United States,6.3,251
Busted!,Variety show,"May 4, 2018",Korean,South Korea,7.6,"1,032"
The Break with Michelle Wolf,Late-night,"May 27, 2018",English,United States,5.5,"1,896"
Norm Macdonald Has a Show,Talk show,"September 14, 2018",English,United States,8.5,"3,722"
The Curious Creations of Christine McConnell,Cooking show,"October 12, 2018",English,United States,7.7,"2,507"
Patriot Act with Hasan Minhaj,Talk show,"October 28, 2018",English,United States,8.3,"7,705"
The Fix,Panel show,"December 14, 2018",English,United States,6.6,"3,153"
J-Style Trip,Variety show,"March 21, 2020",Mandarin,"Taiwan, China",5.1,122
Frank Elstner: Just One Last Question,Talk show,"June 12, 2020",German,Germany,7.7,89
Paik's Spirit,Talk show,"October 1, 2021",Korean,South Korea,6.6,80
Azcárate: No Holds Barred,Talk show,"December 28, 2021",N/A,Colombia,N/A,36
Alessandro Cattelan: One Simple Question,Talk show,"March 18, 2022",Italian,Italy,N/A,237
Lilyhammer,Comedy drama,"February 6, 2012","Norwegian, English, Portuguese, Lithuanian, Nepali, Arabic","Norway, United States",7.9,"30,816"
Between,Science fiction,"May 21, 2015",English,Canada,5.9,"9,503"
Terrace House: Boys & Girls in the City,Reality television,"September 2, 2015",,,,
Atelier,Coming of age drama,"December 1, 2015","English, Danish, Swedish",Denmark,6.2,52
Good Morning Call,Slice of life/Romantic comedy,"May 13, 2016",Japanese,Japan,7.5,"3,342"
The Last Kingdom (season 2),Historical fiction,"July 6, 2016",,,,
Terrace House: Aloha State,Reality television,"November 1, 2016","Japanese, English","Japan, United States",7.5,"1,050"
Dirk Gently's Holistic Detective Agency,Comic science fiction,"December 11, 2016",English,United States,8.2,"53,575"
Crazyhead,Comedy horror,"December 16, 2016",English,United Kingdom,7.2,"5,201"
Travelers (seasons 1–2),Science fiction,"December 23, 2016",,,,
Frontier,Historical drama,"January 20, 2017","English, Cree, Portuguese",Canada,7.1,"22,314"
Anne with an E,Historical drama,"May 12, 2017","Micmac, French, English",Canada,8.7,"58,574"
El Chapo,Crime drama,"June 16, 2017",Spanish,United States,7.8,"19,280"
Kantaro: The Sweet Tooth Salaryman,Comedy drama,"July 7, 2017",Japanese,Japan,7.6,864
The Worst Witch,Children's fantasy,"July 21, 2017",English,United Kingdom,6.8,"2,930"
Million Yen Women,Romantic dark comedy,"August 15, 2017",,,,
Re:Mind,Psychological thriller,"October 13, 2017",Japanese,Japan,4.9,"1,723"
Ainori Love Wagon: Asian Journey,Reality television,"October 26, 2017",Japanese,Japan,7.1,297
Alias Grace,Historical drama,"November 3, 2017",English,Canada,7.7,"34,604"
Glitch (seasons 2–3),Paranormal-drama,"November 28, 2017",,,,
Terrace House: Opening New Doors,Reality television,"December 19, 2017",Japanese,Japan,7.8,"1,030"
The End of the F***ing World,Dark comedy,"January 5, 2018",English,United Kingdom,8.0,"199,953"
Mob Psycho 100,Supernatural/Action comedy,"January 12, 2018",Japanese,Japan,8.6,"36,357"
