Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes
Ashley Garcia: Genius in Love,Comedy,"February 17, 2020",N/A,N/A,6.7,448
The Letter for the King,Fantasy,"March 20, 2020",English,United Kingdom,6.0,"7,911"
The Big Show Show,Comedy,"April 6, 2020",English,United States,6.3,"2,576"
The Baby-Sitters Club,Comedy drama,"July 3, 2020","English, Swiss German",United States,5.7,"5,945"
Emily's Wonder Lab,Educational,"August 25, 2020",N/A,United States,8.8,212
Bookmarks,Educational,"September 1, 2020",English,United States,5.6,168
Julie and the Phantoms,Musical comedy,"September 10, 2020",English,United States,8.4,"10,721"
Izzy's Koala World,Educational,"September 15, 2020",English,Australia,8.0,250
Selena: The Series,Biopic,"December 4, 2020",English,"Mexico, United States",6.9,"4,734"
Zero Chill,Sport/Teen drama,"March 15, 2021",English,United Kingdom,5.7,"1,590"
Waffles + Mochi,Cooking/Educational,"March 16, 2021",English,United States,7.7,533
Country Comfort,Sitcom,"March 19, 2021",English,United States,6.8,"3,812"
Dad Stop Embarrassing Me!,Sitcom,"April 14, 2021",English,United States,4.2,"2,039"
Scaredy Cats,Fantasy comedy,"October 1, 2021",English,United States,6.3,424
Super PupZ,Children's comedy,"March 31, 2022",English,Canada,6.1,133
The Last Bus,Science fiction,"April 1, 2022",English,"United Kingdom, United Arab Emirates",6.6,"2,519"
Gymnastics Academy: A Second Chance!,Family drama,"September 16, 2022",English,Australia,6.4,187
Phantom Pups,Children's comedy,"September 30, 2022",English,Canada,6.0,177
Gilmore Girls: A Year in the Life,Family drama,"November 25, 2016",English,United States,7.5,"41,028"
Wet Hot American Summer: Ten Years Later,Satirical comedy,"August 4, 2017",English,United States,6.9,"9,086"
The Defenders,Superhero action/drama,"August 18, 2017","English, Japanese, Mandarin",United States,7.2,"110,614"
Godless,Western,"November 22, 2017",English,United States,8.2,"71,165"
Maniac,Dark comedy,"September 21, 2018",English,United States,7.7,"81,090"
The Haunting of Hill House,Horror,"October 12, 2018",English,United States,8.6,"254,177"
When They See Us,Drama,"May 31, 2019",English,United States,8.9,"126,106"
Armistead Maupin's Tales of the City,Drama,"June 7, 2019",,,,
The I-Land,Science fiction thriller,"September 12, 2019",English,United States,4.6,"18,269"
Unbelievable,Drama,"September 13, 2019",English,United States,8.4,"107,180"
The Stranger,Thriller,"January 30, 2020",English,United Kingdom,7.3,"53,344"
Self Made: Inspired by the Life of Madam C. J. Walker,Biopic,"March 20, 2020",,,,
Unorthodox,Drama,"March 26, 2020","German, English, Yiddish, Arabic, Polish, Russian",Germany,8.0,"84,688"
The Eddy,Musical drama,"May 8, 2020","French, English","United Kingdom, Germany, United States, France",7.2,"3,101"
The Haunting of Bly Manor,Horror/Gothic-Romance,"October 9, 2020",English,United States,7.4,"111,105"
The Queen's Gambit,Coming-of-age period drama,"October 23, 2020","English, French, Spanish, Russian",United States,8.6,"476,803"
Behind Her Eyes,Psychological thriller,"February 17, 2021",English,United Kingdom,7.2,"66,127"
Brand New Cherry Flavor,Horror-thriller,"August 13, 2021",English,United States,7.1,"16,809"
Clickbait,Thriller,"August 25, 2021",English,"Australia, United States",7.2,"55,556"
King of Boys: The Return of the King,Crime drama,"August 27, 2021","English, Yoruba, Ibo",Nigeria,6.8,288
Midnight Mass,Horror,"September 24, 2021",English,United States,7.7,"122,263"
Maid,Comedy drama,"October 1, 2021",English,United States,8.4,"86,638"
Colin in Black & White,Biopic,"October 29, 2021",English,United States,6.0,"7,737"
True Story,Drama,"November 24, 2021","English, Ibo",United States,6.3,"70,169"
Stay Close,Thriller,"December 31, 2021",English,United Kingdom,6.9,"33,229"
Inventing Anna,Drama,"February 11, 2022",English,United States,6.8,"71,688"
Anatomy of a Scandal,Anthology drama,"April 15, 2022",English,"United Kingdom, United States",7.0,"32,195"
Blood Sisters,Thriller,"May 5, 2022",English,Nigeria,5.5,"1,025"
"Boo, Bitch",Comedy,"July 8, 2022",English,United States,5.8,"4,350"
Keep Breathing,Survival drama,"July 28, 2022",English,United States,5.3,"12,966"
Echoes,Mystery thriller,"August 19, 2022",English,"Australia, United States",5.9,"13,064"
Lost Ollie,Drama,"August 24, 2022",English,United States,7.8,"1,649"
Devil in Ohio,Thriller,"September 2, 2022",English,"Canada, United States",5.9,"16,670"
From Scratch,Drama,"October 21, 2022",English,United States,7.9,"13,525"
The Witcher: Blood Origin,Fantasy drama,"December 25, 2022",English,"United States, Poland",4.7,"38,694"
Treason,Spy drama,"December 26, 2022",English,"United States, United Kingdom",6.3,"17,338"
Kaleidoscope,Heist drama,"January 1, 2023",English,United States,6.6,"36,549"
Transatlantic,Historical drama,"April 7, 2023",English,United States,6.4,231
Florida Man,Crime drama,"April 13, 2023",English,United States,7.0,200
Obsession,Erotic thriller,"April 13, 2023","English, Italian",United States,6.7,"10,889"
BoJack Horseman,Comedy drama,"August 22, 2014",English,United States,8.8,"165,524"
F Is for Family,Sitcom,"December 18, 2015",English,"France, Canada, United States",8.0,"38,933"
Neo Yokio,Science fantasy comedy,"September 22, 2017",English,United States,5.9,"3,486"
Paradise PD,Crime comedy,"August 31, 2018",English,United States,6.8,"20,570"
Super Drags,Superhero comedy,"November 9, 2018",Portuguese,Brazil,5.5,"1,838"
Trailer Park Boys: The Animated Series,Mockumentary,"March 31, 2019",English,Canada,7.5,"3,233"
Tuca & Bertie,Comedy,"May 3, 2019",English,United States,7.4,"7,785"
The Midnight Gospel,Science fantasy/Dark comedy,"April 20, 2020",English,United States,8.2,"21,390"
Hoops,Sitcom,"August 21, 2020",English,United States,6.0,"6,749"
The Liberator,War drama,"November 11, 2020",English,United States,7.6,"6,576"
Bad Exorcist,Horror comedy,"December 3, 2020",,,,
Masters of the Universe: Revelation,Science fantasy,"July 23, 2021",English,United States,5.4,"27,364"
Q-Force,Comedy,"September 2, 2021",English,United States,6.6,"5,985"
Adventure Beast,Educational/comedy,"October 22, 2021",English,United States,5.3,647
Inside Job,Workplace comedy/Science fiction,"October 22, 2021",English,United States,8.2,"76,718"
Tear Along the Dotted Line,Comedy,"November 17, 2021",Italian,Italy,8.6,"9,502"
Saturday Morning All Star Hits!,Comedy,"December 10, 2021",English,United States,7.5,"1,090"
The Guardians of Justice,Superhero live-action animation mix,"March 1, 2022",English,United States,5.1,"4,726"
Castlevania,Dark fantasy action,"July 7, 2017",English,United States,8.3,"69,398"
Devilman Crybaby,Supernatural horror,"January 5, 2018","Japanese, English",Japan,7.6,"23,275"
B: The Beginning,Suspense,"March 2, 2018",Japanese,Japan,7.1,"5,179"
A.I.C.O. -Incarnation-,Science fiction,"March 9, 2018",Japanese,Japan,6.3,"1,299"
Sword Gai: The Animation,Supernatural,"March 23, 2018",Japanese,Japan,5.8,997
Lost Song,Musical fantasy,"March 31, 2018",Japanese,Japan,7.0,397
Aggretsuko,Workplace comedy,"April 20, 2018",Japanese,Japan,8.0,"6,797"
Baki,Martial arts,"June 25, 2018",Japanese,Japan,6.7,"7,012"
Hero Mask,Crime,"December 3, 2018",Japanese,Japan,6.2,722
Rilakkuma and Kaoru,Stop motion/Slice of life,"April 19, 2019",Japanese,Japan,8.3,"1,775"
