Title,Genre,Premiere Date
Oni: Thunder God's Tale,Family film,"October 21, 2022"
Ludik,Drama,"August 26, 2022"
Jinn,Fantasy adventure,"June 13, 2019"
Dollar,Thriller,"August 8, 2019"
Paranormal,Supernatural drama,"November 5, 2020"
Abla Fahita: Drama Queen,Puppetry/live-action comedy,"March 15, 2021"
"Love, Life & Everything in Between",Romantic comedy,"March 10, 2022"
The Cage,Comedy drama,"October 11, 2022"
The Rain,Post-apocalyptic drama,"May 4, 2018"
Equinox,Thriller,"December 30, 2020"
The Chestnut Man,Crime drama,"September 29, 2021"
Elves,Fantasy horror,"November 28, 2021"
Chosen,Coming-of-age science fiction,"January 27, 2022"
Baby Fever,Romantic comedy drama,"June 8, 2022"
Ares,Horror drama,"January 17, 2020"
Misfit: The Series,Teen musical comedy-drama,"October 16, 2021"
Dirty Lines,Drama,"April 8, 2022"
Marseille,Political drama,"May 5, 2016"
The Hook Up Plan,Romantic comedy,"December 7, 2018"
Osmosis,Science fiction/drama,"March 29, 2019"
Family Business,Comedy,"June 28, 2019"
Marianne,Horror drama,"September 13, 2019"
Criminal: France,Police procedural anthology series,"September 20, 2019"
Vampires,Supernatural drama,"March 20, 2020"
Mortel,Supernatural drama,"November 21, 2019"
Into the Night,Science fiction,"May 1, 2020"
La Révolution,Supernatural drama,"October 16, 2020"
Dealer,Drama,"March 10, 2021"
Gone for Good,Thriller,"August 13, 2021"
Christmas Flow,Romantic comedy/Musical,"November 17, 2021"
Standing Up,Comedy drama,"March 18, 2022"
The 7 Lives of Lea,Supernatural drama,"April 28, 2022"
Off the Hook,Comedy,"September 1, 2022"
Notre-Dame,Drama,"October 19, 2022"
Dark,Science fiction,"December 1, 2017"
Dogs of Berlin,Drama,"December 7, 2018"
Criminal: Germany,Police procedural anthology series,"September 20, 2019"
Skylines,Drama,"September 27, 2019"
We Are the Wave,Drama,"November 1, 2019"
Holiday Secrets,Drama,"November 20, 2019"
Biohackers,Thriller,"August 20, 2020"
The Last Word,Comedy drama,"September 17, 2020"
Over Christmas,Comedy,"November 27, 2020"
Tribes of Europa,Science fiction,"February 19, 2021"
The Billion Dollar Code,Legal thriller,"October 7, 2021"
Life's a Glitch with Julien Bam,Science fiction comedy-drama,"October 21, 2021"
Kitz,Young adult mystery drama,"December 30, 2021"
King of Stonks,Comedy drama,"July 6, 2022"
Sacred Games,Drama,"July 6, 2018"
Ghoul,Horror,"August 24, 2018"
Selection Day,Drama,"December 28, 2018"
Leila,Drama,"June 14, 2019"
Typewriter,Horror,"July 19, 2019"
Bard of Blood,Espionage thriller,"September 27, 2019"
Taj Mahal 1989,Romantic comedy,"February 14, 2020"
Hasmukh,Comedy,"April 17, 2020"
Betaal,Thriller,"May 24, 2020"
Masaba Masaba,Drama,"August 28, 2020"
Bhaag Beanie Bhaag,Comedy,"December 4, 2020"
Bombay Begums,Drama,"March 8, 2021"
