Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes,Close Price
The Crew,Workplace comedy,2021-02-15,"English, Spanish",United States,5.6,"6,562",
The Chair,Comedy drama,2021-08-20,English,United States,7.2,"17,698",546.8800048828125
Pretty Smart,Sitcom,2021-10-08,English,United States,5.8,"5,050",632.6599731445312
Decoupled,Comedy,2021-12-17,"English, Hindi",India,7.9,"7,877",586.72998046875
The Woman in the House Across the Street from the Girl in the Window,Dark comedy thriller,2022-01-28,English,United States,6.4,"48,356",384.3599853515625
Murderville,Crime comedy/Improvisational,2022-02-03,English,United States,6.9,"14,056",405.6000061035156
Eternally Confused and Eager for Love,Comedy drama,2022-03-18,,India,6.7,"2,167",380.6000061035156
Hard Cell,Mockumentary,2022-04-12,English,United Kingdom,6.4,"1,887",344.1000061035156
The Pentaverate,Comedy,2022-05-05,English,United States,6.1,"10,651",188.32000732421875
Uncoupled,Comedy,2022-07-29,English,United States,7.0,"17,257",224.89999389648438
Chad and JT Go Deep,Comedy,2022-08-23,,,,,224.5500030517578
Blockbuster,Workplace comedy,2022-11-03,English,United States,5.1,"7,539",269.05999755859375
Freeridge,Comedy,2023-02-02,English,United States,5.7,777,366.8900146484375
Richie Rich,Sitcom,2015-02-20,"English, Latin",United States,5.4,"70,905",68.31428527832031
Project Mc2,Comedy,2015-08-07,English,United States,8.4,23,123.5199966430664
Fuller House,Sitcom,2016-02-26,English,United States,6.7,"28,311",94.79000091552734
Haters Back Off,Comedy,2016-10-14,English,United States,6.0,"7,500",101.47000122070312
One Day at a Time,Sitcom,2017-01-06,English,United States,8.2,"17,164",131.07000732421875
A Series of Unfortunate Events,Black comedy mystery,2017-01-13,English,"Germany, United States",6.8,"213,101",133.6999969482422
Julie's Greenroom,Educational,2017-03-17,English,United States,8.3,336,145.11000061035156
Free Rein,Teen drama,2017-06-22,English,United States,7.2,"2,278",154.88999938964844
Greenhouse Academy,Science fiction teen drama,2017-09-08,English,United States,6.6,"6,510",176.4199981689453
Alexa & Katie,Sitcom,2018-03-23,English,United States,7.5,"5,503",300.94000244140625
Lost in Space,Science fiction,2018-04-13,English,United States,7.3,"101,619",311.6499938964844
The Who Was? Show,Educational,2018-05-11,,United States,6.5,636,326.4599914550781
All About the Washingtons,Comedy,2018-08-10,English,United States,4.7,750,345.8699951171875
The Ponysitters Club,Drama,2018-08-10,,,,,345.8699951171875
Best.Worst.Weekend.Ever.,Comedy,2018-10-19,,,,,332.6700134277344
Brainchild,Educational,2018-11-02,,,8.1,449,309.1000061035156
Prince of Peoria,Sitcom,2018-11-16,,United States,6.1,539,286.2099914550781
No Good Nick,Sitcom,2019-04-15,English,United States,6.0,"3,221",348.8699951171875
Malibu Rescue: The Series,Comedy,2019-06-03,,,,,336.6300048828125
Family Reunion,Sitcom,2019-07-10,English,United States,6.6,"3,190",381.0
The Dark Crystal: Age of Resistance,Fantasy,2019-08-30,English,"United Kingdom, United States",8.4,"25,777",293.75
Team Kaylie,Sitcom,2019-09-23,English,United States,4.6,380,265.9200134277344
Raising Dion,Superhero/science fiction drama,2019-10-04,English,United States,7.1,"15,687",272.7900085449219
Dolly Parton's Heartstrings,Anthology series,2019-11-22,English,United States,7.6,"2,288",310.4800109863281
The Healing Powers of Dude,Family comedy,2020-01-13,,United States,6.6,"1,016",338.9200134277344
Ashley Garcia: Genius in Love,Comedy,2020-02-17,,,6.7,448,
The Letter for the King,Fantasy,2020-03-20,English,United Kingdom,6.0,"7,911",332.8299865722656
The Big Show Show,Comedy,2020-04-06,English,United States,6.3,"2,576",379.9599914550781
The Baby-Sitters Club,Comedy drama,2020-07-03,"English, Swiss German",United States,5.7,"5,945",
Emily's Wonder Lab,Educational,2020-08-25,,United States,8.8,212,490.5799865722656
Bookmarks,Educational,2020-09-01,English,United States,5.6,168,556.5499877929688
Julie and the Phantoms,Musical comedy,2020-09-10,English,United States,8.4,"10,721",480.6700134277344
Izzy's Koala World,Educational,2020-09-15,English,Australia,8.0,250,495.989990234375
Selena: The Series,Biopic,2020-12-04,English,"Mexico, United States",6.9,"4,734",498.30999755859375
Zero Chill,Sport/Teen drama,2021-03-15,English,United Kingdom,5.7,"1,590",520.25
Waffles + Mochi,Cooking/Educational,2021-03-16,English,United States,7.7,533,524.030029296875
Country Comfort,Sitcom,2021-03-19,English,United States,6.8,"3,812",512.1799926757812
Dad Stop Embarrassing Me!,Sitcom,2021-04-14,English,United States,4.2,"2,039",540.02001953125
Scaredy Cats,Fantasy comedy,2021-10-01,English,United States,6.3,424,613.1500244140625
Super PupZ,Children's comedy,2022-03-31,English,Canada,6.1,133,374.5899963378906
The Last Bus,Science fiction,2022-04-01,English,"United Kingdom, United Arab Emirates",6.6,"2,519",373.4700012207031
Gymnastics Academy: A Second Chance!,Family drama,2022-09-16,English,Australia,6.4,187,240.1300048828125
Phantom Pups,Children's comedy,2022-09-30,English,Canada,6.0,177,235.44000244140625
Gilmore Girls: A Year in the Life,Family drama,2016-11-25,English,United States,7.5,"41,028",117.41000366210938
Wet Hot American Summer: Ten Years Later,Satirical comedy,2017-08-04,English,United States,6.9,"9,086",180.27000427246094
The Defenders,Superhero action/drama,2017-08-18,"English, Japanese, Mandarin",United States,7.2,"110,614",166.5399932861328
Godless,Western,2017-11-22,English,United States,8.2,"71,165",196.32000732421875
Maniac,Dark comedy,2018-09-21,English,United States,7.7,"81,090",361.19000244140625
The Haunting of Hill House,Horror,2018-10-12,English,United States,8.6,"254,177",339.55999755859375
When They See Us,Drama,2019-05-31,English,United States,8.9,"126,106",343.2799987792969
Armistead Maupin's Tales of the City,Drama,2019-06-07,,,,,360.8699951171875
The I-Land,Science fiction thriller,2019-09-12,English,United States,4.6,"18,269",288.8599853515625
Unbelievable,Drama,2019-09-13,English,United States,8.4,"107,180",294.1499938964844
The Stranger,Thriller,2020-01-30,English,United Kingdom,7.3,"53,344",347.739990234375
Self Made: Inspired by the Life of Madam C. J. Walker,Biopic,2020-03-20,,,,,332.8299865722656
Unorthodox,Drama,2020-03-26,"German, English, Yiddish, Arabic, Polish, Russian",Germany,8.0,"84,688",362.989990234375
The Eddy,Musical drama,2020-05-08,"French, English","United Kingdom, Germany, United States, France",7.2,"3,101",435.54998779296875
The Haunting of Bly Manor,Horror/Gothic-Romance,2020-10-09,English,United States,7.4,"111,105",539.4400024414062
The Queen's Gambit,Coming-of-age period drama,2020-10-23,"English, French, Spanish, Russian",United States,8.6,"476,803",488.2799987792969
Behind Her Eyes,Psychological thriller,2021-02-17,English,United Kingdom,7.2,"66,127",551.3400268554688
Brand New Cherry Flavor,Horror-thriller,2021-08-13,English,United States,7.1,"16,809",515.9199829101562
Clickbait,Thriller,2021-08-25,English,"Australia, United States",7.2,"55,556",547.5800170898438
King of Boys: The Return of the King,Crime drama,2021-08-27,"English, Yoruba, Ibo",Nigeria,6.8,288,558.9199829101562
Midnight Mass,Horror,2021-09-24,English,United States,7.7,"122,263",592.3900146484375
Maid,Comedy drama,2021-10-01,English,United States,8.4,"86,638",613.1500244140625
Colin in Black & White,Biopic,2021-10-29,English,United States,6.0,"7,737",690.3099975585938
True Story,Drama,2021-11-24,"English, Ibo",United States,6.3,"70,169",658.2899780273438
Stay Close,Thriller,2021-12-31,English,United Kingdom,6.9,"33,229",602.4400024414062
Inventing Anna,Drama,2022-02-11,English,United States,6.8,"71,688",391.30999755859375
Anatomy of a Scandal,Anthology drama,2022-04-15,English,"United Kingdom, United States",7.0,"32,195",
Blood Sisters,Thriller,2022-05-05,English,Nigeria,5.5,"1,025",188.32000732421875
"Boo, Bitch",Comedy,2022-07-08,English,United States,5.8,"4,350",186.97999572753906
Keep Breathing,Survival drama,2022-07-28,English,United States,5.3,"12,966",226.02000427246094
Echoes,Mystery thriller,2022-08-19,English,"Australia, United States",5.9,"13,064",241.16000366210938
Lost Ollie,Drama,2022-08-24,English,United States,7.8,"1,649",229.61000061035156
Devil in Ohio,Thriller,2022-09-02,English,"Canada, United States",5.9,"16,670",226.11000061035156
From Scratch,Drama,2022-10-21,English,United States,7.9,"13,525",289.57000732421875
The Witcher: Blood Origin,Fantasy drama,2022-12-25,English,"United States, Poland",4.7,"38,694",
Treason,Spy drama,2022-12-26,English,"United States, United Kingdom",6.3,"17,338",
Kaleidoscope,Heist drama,2023-01-01,English,United States,6.6,"36,549",
Transatlantic,Historical drama,2023-04-07,English,United States,6.4,231,
Florida Man,Crime drama,2023-04-13,English,United States,7.0,200,346.19000244140625
Obsession,Erotic thriller,2023-04-13,"English, Italian",United States,6.7,"10,889",346.19000244140625
BoJack Horseman,Comedy drama,2014-08-22,English,United States,8.8,"165,524",68.4557113647461
F Is for Family,Sitcom,2015-12-18,English,"France, Canada, United States",8.0,"38,933",118.0199966430664
Neo Yokio,Science fantasy comedy,2017-09-22,English,United States,5.9,"3,486",187.35000610351562
Paradise PD,Crime comedy,2018-08-31,English,United States,6.8,"20,570",367.67999267578125
Super Drags,Superhero comedy,2018-11-09,Portuguese,Brazil,5.5,"1,838",303.4700012207031
Trailer Park Boys: The Animated Series,Mockumentary,2019-03-31,English,Canada,7.5,"3,233",
Tuca & Bertie,Comedy,2019-05-03,English,United States,7.4,"7,785",385.0299987792969
The Midnight Gospel,Science fantasy/Dark comedy,2020-04-20,English,United States,8.2,"21,390",437.489990234375
Hoops,Sitcom,2020-08-21,English,United States,6.0,"6,749",492.30999755859375
The Liberator,War drama,2020-11-11,English,United States,7.6,"6,576",490.760009765625
Bad Exorcist,Horror comedy,2020-12-03,,,,,497.5199890136719
Masters of the Universe: Revelation,Science fantasy,2021-07-23,English,United States,5.4,"27,364",515.4099731445312
Q-Force,Comedy,2021-09-02,English,United States,6.6,"5,985",588.5499877929688
Adventure Beast,Educational/comedy,2021-10-22,English,United States,5.3,647,664.780029296875
Inside Job,Workplace comedy/Science fiction,2021-10-22,English,United States,8.2,"76,718",664.780029296875
Tear Along the Dotted Line,Comedy,2021-11-17,Italian,Italy,8.6,"9,502",691.6900024414062
Saturday Morning All Star Hits!,Comedy,2021-12-10,English,United States,7.5,"1,090",611.6599731445312
The Guardians of Justice,Superhero live-action animation mix,2022-03-01,English,United States,5.1,"4,726",386.239990234375
Castlevania,Dark fantasy action,2017-07-07,English,United States,8.3,"69,398",150.17999267578125
Devilman Crybaby,Supernatural horror,2018-01-05,"Japanese, English",Japan,7.6,"23,275",209.99000549316406
B: The Beginning,Suspense,2018-03-02,Japanese,Japan,7.1,"5,179",301.04998779296875
A.I.C.O. -Incarnation-,Science fiction,2018-03-09,Japanese,Japan,6.3,"1,299",331.44000244140625
Sword Gai: The Animation,Supernatural,2018-03-23,Japanese,Japan,5.8,997,300.94000244140625
Lost Song,Musical fantasy,2018-03-31,Japanese,Japan,7.0,397,
Aggretsuko,Workplace comedy,2018-04-20,Japanese,Japan,8.0,"6,797",327.7699890136719
Baki,Martial arts,2018-06-25,Japanese,Japan,6.7,"7,012",384.4800109863281
Hero Mask,Crime,2018-12-03,Japanese,Japan,6.2,722,290.29998779296875
Rilakkuma and Kaoru,Stop motion/Slice of life,2019-04-19,Japanese,Japan,8.3,"1,775",
7SEEDS,Science fiction,2019-06-28,Japanese,Japan,6.3,"1,567",367.32000732421875
Knights of the Zodiac: Saint Seiya,Action,2019-07-19,Japanese,Japan,4.6,"1,995",315.1000061035156
Cannon Busters,Fantasy,2019-08-15,English,"United States, Japan",6.7,"1,273",295.760009765625
Seis Manos,Supernatural/Action,2019-10-03,English,United States,7.1,"1,750",268.1499938964844
Dino Girl Gauko,Children's series,2019-11-22,English,"United States, Japan",7.4,85,310.4800109863281
Levius,Science fiction/Action,2019-11-28,,Japan,7.0,594,
The Disastrous Life of Saiki K.: Reawakened,Supernatural comedy,2019-12-30,Japanese,Japan,7.9,"1,922",323.30999755859375
Cagaster of an Insect Cage,Science fiction,2020-02-06,,Japan,6.1,710,366.95001220703125
Ghost in the Shell: SAC_2045,Science fiction,2020-04-23,"Japanese, English","Japan, United States",6.3,"2,723",426.70001220703125
Japan Sinks: 2020,Disaster,2020-07-09,Japanese,Japan,6.4,"3,249",507.760009765625
Transformers: War for Cybertron Trilogy: Siege,Science fiction,2020-07-30,,,,,485.79998779296875
The Idhun Chronicles,Fantasy/Action,2020-09-10,Spanish,Spain,5.4,613,480.6700134277344
Dragon's Dogma,Dark fantasy/Adventure,2020-09-17,,,6.3,"3,766",470.20001220703125
Transformers: War for Cybertron Trilogy: Earthrise,Science fiction,2020-12-30,,,,,524.5900268554688
High-Rise Invasion,Action horror,2021-02-25,Japanese,Japan,6.5,"3,480",546.7000122070312
Pacific Rim: The Black,Mecha/Kaiju,2021-03-04,English,"United States, Australia",7.1,"5,646",511.2900085449219
Yasuke,Historical fantasy/Action,2021-04-29,"Japanese, English","Japan, United States",6.2,"5,595",509.0
Eden,Science fiction,2021-05-27,"English, Chinese, Spanish",United States,6.6,"9,025",503.8599853515625
Trese,Dark fantasy/Crime,2021-06-10,"Filipino, English, Japanese","United States, Singapore, Malaysia, Indonesia, Philippines",7.0,"4,351",487.2699890136719
Resident Evil: Infinite Darkness,CG animation/Horror,2021-07-08,"Japanese, English","Japan, United States",5.7,"11,272",530.760009765625
Transformers: War for Cybertron Trilogy: Kingdom,Science fiction,2021-07-29,,,,,514.25
Super Crooks,Crime,2021-11-25,Japanese,Japan,7.1,"2,806",
The Orbital Children,Science fiction adventure,2022-01-28,Japanese,Japan,6.4,726,384.3599853515625
Kotaro Lives Alone,Comedy,2022-03-10,Japanese,Japan,8.4,"3,384",356.7699890136719
Thermae Romae Novae,Comedy,2022-03-28,Japanese,Japan,7.0,"1,016",378.510009765625
Rilakkuma's Theme Park Adventure,Slice of life,2022-08-25,Japanese,Japan,6.6,211,233.97999572753906
Cyberpunk: Edgerunners,Science fiction,2022-09-13,"Japanese, English","Poland, United States",8.3,"56,071",218.1300048828125
Turbo Fast,Family film,2013-12-24,English,United States,6.4,655,54.05571365356445
VeggieTales in the House,Family film,2014-11-26,,United States,4.0,329,50.165714263916016
All Hail King Julien,Family film,2014-12-19,English,United States,7.1,"2,185",48.58856964111328
The Adventures of Puss in Boots,Family film,2015-01-16,English,United States,6.6,"2,130",48.191429138183594
Ever After High,Family film,2015-02-06,English,"Canada, United States",7.7,"1,330",63.47999954223633
Dragons: Race to the Edge,Family film,2015-06-26,English,United States,8.2,"7,010",93.08856964111328
Dinotrux,Family film,2015-08-14,"English, French","United States, Canada",6.8,491,123.38999938964844
The Mr. Peabody & Sherman Show,Family film,2015-10-09,English,United States,5.5,490,113.33000183105469
Popples,Family film,2015-10-30,"English, French, Japanese","United States, France, Japan",6.3,238,108.37999725341797
Care Bears and Cousins,Family film,2015-11-06,English,United States,6.8,86,114.05999755859375
Dawn of the Croods,Family film,2015-12-24,English,United States,5.8,773,117.33000183105469
Lego Bionicle: The Journey to One,Family film,2016-03-04,English,United States,5.5,199,101.58000183105469
Lego Friends: The Power of Friendship,Family film,2016-03-04,"Danish, English, Mandarin, German, Spanish, French",Denmark,7.1,57,101.58000183105469
Kong: King of the Apes,Family film,2016-04-15,"English, Spanish, French, German, Mandarin","United States, Japan, Canada",5.7,347,111.51000213623047
Voltron: Legendary Defender,Family film,2016-06-10,"English, Italian",United States,8.1,"9,196",93.75
Justin Time GO!,Family film,2016-06-24,,,,,88.44000244140625
Word Party,Family film,2016-07-08,English,United States,5.6,366,97.05999755859375
Home: Adventures with Tip & Oh,Family film,2016-07-29,English,United States,6.2,640,91.25
Ask the StoryBots,Family film,2016-08-12,English,United States,8.5,949,96.58999633789062
Kulipari: An Army of Frogs,Family film,2016-09-02,English,United States,6.9,266,97.37999725341797
Skylanders Academy,Family film,2016-10-28,"English, Spanish, German, French, Mandarin, Korean","South Korea, United States",6.7,840,126.56999969482422
